Matrícula,Cargo/Função
113336,Diretor do Forum de Sao Miguel do Guama
113671,Diretor do Forum de Obidos
116327,Diretor do Forum de Conceicao do Araguaia
116386,Diretor do Forum de Canaa dos Carajas
116602,Diretor do Forum de Faro
116939,Diretor do Forum de Concordia do Para
132,Coordenador dos Juizados Especiais
136557,Diretor do Forum de Igarape-Miri
136611,Diretor do Forum de Jacunda
140058,Vice-Presidente
148962,Diretor do Forum de Rondon do Para
149012,Diretor do Forum de Sao Sebastiao da Boa Vista
149080,Diretor do Forum de Primavera
149144,Diretor do Forum de Soure
149179,Diretor do Forum de Mae do Rio
149276,Diretor do Forum de Curionopolis
149284,Diretor do Forum de Terra Santa
149292,Diretor do Forum de Irituia
149357,Diretor do Forum de Sao Domingos do Capim
149390,Diretor do Forum de Maracana
149454,Diretor do Forum de Cachoeira do Arari
150258,Diretor do Forum de Ruropolis
151084,Diretor do Forum de Oeiras do Para
151092,Diretor do Forum de Sao Caetano de Odivelas
151106,Diretor do Forum de Chaves
151114,Diretor do Forum de Peixe-Boi
151122,Diretor do Forum de Xinguara
151181,Diretor do Forum de Barcarena
153184,Diretor do Forum de Santarem Novo
153826,Diretor do Forum de Salvaterra
154423,Diretor do Forum de Limoeiro do Ajuru
154440,Diretor do Forum de Breu Branco
158542,Diretor do Forum de Curralinho
158551,Diretor do Forum de Prainha
158585,Diretor do Forum de Juruti
158593,Diretor do Forum de Garrafao do Norte
161152,Diretor do Forum de Santa Luzia do Para
167274,Diretor do Forum de Tailandia
1830,Corregedor Geral de Justica
190047,Diretor do Forum de Mocajuba
190055,Diretor do Forum de Eldorado dos Carajas
190063,Diretor do Forum de Sao Francisco do Para
190101,Diretor do Forum de Breves
190128,Diretor do Forum de Aurora do Para
190152,Diretor do Forum de Pacaja
190179,Diretor do Forum de Ipixuna do Para
190268,Diretor do Forum de Gurupa
190292,Diretor do Forum de Capitao Poco
190306,Diretor do Forum de Novo Progresso
190322,Diretor do Forum de Tucuma
190357,Diretor do Forum de Dom Eliseu
190411,Diretor do Forum de Bujaru
190489,Diretor do Forum de Portel
190501,Diretor do Forum de Itupiranga
190535,Diretor do Forum de Goianesia do Para
197033,Diretor do Forum de Itaituba
197041,Diretor do Forum de Santa Maria do Para
197050,Diretor do Forum de Senador Jose Porfirio
197114,Diretor do Forum de Melgaco
197131,Diretor do Forum de Anajas
197157,Diretor do Forum de Baiao
197173,Diretor do Forum de Uruara
197203,Diretor do Forum de Novo Repartimento
197378,Diretor do Forum de Tome-Acu
198421,Diretor do Forum de Ulianopolis
20121,Juiz(a) Convocado(a) 3
203963,Diretor do Forum de Sao Felix do Xingu
204021,Diretor do Forum de Alenquer
204030,Diretor do Forum de Curuca
204048,Diretor do Forum de Porto de Moz
204056,Diretor do Forum de Santana do Araguaia
204137,Subdiretor de Forum Distrital de Monte Dourado - Almeirim
204145,Diretor do Forum de Vitoria do Xingu
204161,Diretor do Forum de Oriximina
204188,Diretor do Forum de Jacareacanga
22969,Juiz(a) Auxiliar da Conciliacao de Precatorio
29327,Diretor do Forum Criminal
29564,Diretor do Forum de Cameta
30139,Juiz(a) Auxiliar da Corregedoria Geral de Justica
30201,Diretor do Forum Distrital de Icoaraci
30252,Juiz(a) Auxiliar da Corregedoria Geral de Justica
34533,Diretor do Forum de Muana
36840,Juiz(a) Auxiliar da Corregedoria Geral de Justica
37150,Juiz(a) Auxiliar da Vice-Presidencia
37160,Diretor do Forum de Rio Maria
37200,Diretor do Forum de Sao Joao do Araguaia
37230,Diretor do Forum Distrital de Mosqueiro
37840,Diretor do Forum de Salinopolis
38930,Diretor do Forum de Igarape-Acu
39020,Diretor do Forum de Ananindeua
39098,Diretor do Forum de Viseu
39200,Diretor do Forum de Santa Izabel do Para
39284,Diretor do Forum de Nova Timboteua
39300,Diretor do Forum de Monte Alegre
39310,Diretor do Forum de Moju
44940,Diretor do Forum de Capanema
48658,Diretor do Forum de Inhangapi
48674,Diretor do Forum de Ourem
48690,Diretor do Forum de Paragominas
48755,Diretor do Forum de Benevides
5169,Juiz(a) Convocado(a) 1
5266,Juiz(a) Auxiliar da Vice-Presidencia
55735,Diretor do Forum de Vigia
55808,Diretor do Forum de Santarem
60160,Diretor do Forum de Maraba
60224,Juiz(a) Auxiliar da Corregedoria Geral de Justica
647,Diretor Adjunto da Escola Judicial do Para
70734,Diretor do Forum de Redencao
744,Presidente
7536,Juiz(a) Auxiliar da Presidencia
7919,Juiz(a) Auxiliar da Corregedoria Geral de Justica
7986,Diretor do Forum Civel
82597,Diretor do Forum de Santo Antonio do Taua
82678,Diretor do Forum de Abaetetuba
82694,Diretor do Forum de Ponta de Pedras
82708,Diretor do Forum de Sao Geraldo do Araguaia
82783,Diretor do Forum de Marapanim
82821,Diretor do Forum de Castanhal
82872,Diretor do Forum de Altamira
82899,Diretor do Forum de Parauapebas
82911,Diretor do Forum de Acara
82929,Diretor do Forum de Tucurui
82953,Diretor do Forum de Marituba
83089,Diretor do Forum de Bonito
83097,Diretor do Forum de Afua
83151,Diretor do Forum de Braganca
91090,Diretor do Forum de Augusto Correa
9407,Diretor da Escola Judicial do Para
